case_name,stage,frame,query_type,normalized_label,pass_gate,repair_action,used_for_anchor_update,used_for_contact_residual,used_for_report
volleyball,stage4,10,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,1
volleyball,stage4,65,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,1
volleyball,stage4,222,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,1
volleyball,stage4,1,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,1
volleyball,stage4,119,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,1
volleyball,stage4,10,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,1
volleyball,stage4,65,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,1
volleyball,stage4,222,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,1
volleyball,stage4,1,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,1
volleyball,stage4,119,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,1
